id,text,url_media,quantity_likes,quantity_retweets,quantity_quotes,quantity_replys,timestamp,twitter_account_id
28,We're on day 7 of ChAIR's 12 Days of Christmas - head over to the @ChAIRGames Twitter to get in on the giveaway fun! https://t.co/RQLzW59yEM,,1,0,0,0,2017-12-14T16:26:48.000Z,0
29,Jason goes full throttle on his holiday decorations. What does your tree look like? #DecktheHalls https://t.co/oJGb57Aoek,,2,0,0,0,2017-12-13T18:42:11.000Z,0
30,RT @ChAIRGAMES: ChAIR's having a musical 5th day of Christmas - we're giving away the Shadow Complex soundtrack! Follow and RT for a chanceâ€¦,,0,13,0,0,2017-12-12T19:11:20.000Z,0
31,The 12 Days of ChAIR Christmas is still going strong! We're doing giveaways all month long on the @ChAIRGAMES Twitter. Don't miss a single giveaway - follow now! https://t.co/HWjHM8JVI9,,2,0,0,0,2017-12-12T16:53:17.000Z,0
32,"RT @ChAIRGAMES: On the 2nd day of ChAIR Christmas, we're giving away a Shadow Complex poster! Follow and RT for a chance to win. Open to U.â€¦",,0,27,0,0,2017-12-07T21:13:46.000Z,0
33,Don't miss out on ChAIR's 12 Days of Christmas giveaway month! Follow @ChAIRGAMES on Twitter to enter. https://t.co/YMnYj8NbCs,,2,2,0,0,2017-12-07T17:04:00.000Z,0
34,Our ChAIR 12 Days of Christmas starts TODAY! We're doing giveaways all month long on the @ChAIRGAMES Twitter. Don't miss a single giveaway - follow now! https://t.co/CuFFjaqCp4,,3,1,0,0,2017-12-06T22:05:55.000Z,0
35,Don't miss Shadow Complex Remastered on Steam for only $5! https://t.co/oUafibMrJU https://t.co/I6XCT1O4hV,,1,1,0,0,2017-11-28T18:07:58.000Z,0
36,Kick your post-Thanksgiving blues with Shadow Complex Remastered! Only $5 on Steam: https://t.co/oUafibMrJU https://t.co/zoG1DX7dQA,,1,0,0,0,2017-11-27T16:35:32.000Z,0
37,Explore the complex for only $5! Shadow Complex Remastered is on sale on Steam: https://t.co/oUafibMrJU https://t.co/wF0QpRtXty,,1,0,0,0,2017-11-26T19:00:21.000Z,0
38,Spend some of your weekend with Shadow Complex Remastered for only $5 on Steam: https://t.co/oUafibMrJU https://t.co/LUySBqejyq,,1,0,0,0,2017-11-25T19:00:19.000Z,0
39,Grab Shadow Complex Remastered for just $5 this Black Friday! #BlackFriday #BlackFridayDeals https://t.co/oUafibMrJU https://t.co/jpDN6P1czh,,1,0,0,0,2017-11-24T19:00:28.000Z,0
40,"Happy Thanksgiving! Celebrate with Jason and Shadow Complex Remastered, on sale for $5 on Steam NOW: https://t.co/oUafibMrJU https://t.co/0TA8nFLYKy",,1,0,0,0,2017-11-23T19:00:15.000Z,0
41,Carve out some time for Shadow Complex this Thanksgiving weekend! It's only $5 on Steam: https://t.co/oUafibMrJU https://t.co/7yZLxXltBp,,0,1,1,0,2017-11-22T18:34:44.000Z,0
42,Our Undertow Anniversary Tournament stream is going LIVE now! Celebrate with us here: https://t.co/ZQuu8mnqZ3 https://t.co/OKwYeJGwYo,,0,0,0,0,2017-11-20T19:55:08.000Z,0
43,Tune in to our Undertow anniversary stream TODAY at 3 pm EST and watch the team compete for oceanic domination: https://t.co/ZQuu8mnqZ3 https://t.co/q2anpCazAD,,0,0,0,0,2017-11-20T17:28:00.000Z,0
44,Turkey Day is sneaking up. Don't run away from your holiday spirit! #AVeryJasonThanksgiving https://t.co/uHoo3wpKeP,,0,0,0,0,2017-11-17T17:48:23.000Z,0
45,"Jason may hate pumpkins, but don't let him spoil your #NationalPumpkinDay! https://t.co/QXQApULdxK",,1,0,0,0,2017-10-26T16:02:26.000Z,0
46,We made it to #TwitchCon! Let us know if you are around and come say hi at the @FortniteGame booth 1120! https://t.co/n0mD7ijhFA,,4,0,0,0,2017-10-20T00:09:13.000Z,0
47,RT @fibretear: Found a @shadowcomplex poster in @FortniteGame ðŸ˜€ https://t.co/sN1YbrIq46,,0,1,0,0,2017-10-16T21:22:27.000Z,0
48,Is Jason's Halloween costume a little too on the nose? #Fridaythe13th #JasonVoorhees https://t.co/nxqjds6tF6,,1,0,0,0,2017-10-13T16:10:56.000Z,0
49,We're speaking at #TwitchCon at 3pm on Friday in FrankerZ along with @PsyonixStudios @digitalex @survivetheark! https://t.co/n5yuvZlgR5 https://t.co/qJAYQ5uByZ,,0,0,0,0,2017-10-12T20:14:59.000Z,0
50,Who you gonna call? #GhostKickers #HeAintAfraidofNoGhost https://t.co/2Hqt3dlrqk,,4,1,0,0,2017-10-04T19:42:20.000Z,0
51,LAST DAY to grab Shadow Complex Remastered for under 5 euros at the European Playstation Store! Don't miss out: https://t.co/oYn3Lkz69U https://t.co/jYUTe2QREk,,1,0,0,0,2017-09-20T15:03:19.000Z,0
52,Shadow Complex Remastered is still on sale for under 5 euros on the European Playstation Store - don't miss it! https://t.co/oYn3Lkz69U https://t.co/5S0F5rVsW4,,0,0,1,0,2017-09-18T17:24:40.000Z,0
53,Hey Europe! Spend your weekend with Shadow Complex Remastered - less than 5 euros on the European Playstation store! https://t.co/oYn3Lkz69U https://t.co/X4ZUSWr40r,,0,1,0,0,2017-09-16T15:05:08.000Z,0
54,"Sorry guys - today's community stream is cancelled! But don't worry, we'll be back to take on the complex again sometime soon. https://t.co/Ge6r50f1lf",,1,0,0,0,2017-09-13T15:26:13.000Z,0
55,Players in Europe can still pick up Shadow Complex Remastered for less than 5 euros on the EU Playstation store! https://t.co/oYn3Lkz69U https://t.co/fqg0ECqdib,,0,0,0,0,2017-09-13T15:10:50.000Z,0
56,Our September Shadow Complex stream is TOMORROW at 5 pm EST! Tune in for the newest installment of Noob's Journey: https://t.co/3R3cLuximX https://t.co/EXbZo3rLz3,,0,0,0,0,2017-09-12T19:51:55.000Z,0
57,Don't forget - Shadow Complex Remastered is less than 5 euros in the European Playstation store! https://t.co/oYn3Lkz69U https://t.co/uJvt1kVseS,,3,0,0,0,2017-09-12T15:32:30.000Z,0
58,European fans - spend your weekend with Shadow Complex Remastered for less than 5 euros on the PS4 store! https://t.co/oYn3Lkz69U https://t.co/PvxNqbO7pn,,0,1,0,0,2017-09-09T18:00:22.000Z,0
59,Hey Europe: Shadow Complex Remastered is on sale NOW in your Playstation store - for less than 5 euros! https://t.co/oYn3Lkz69U https://t.co/QIzLOa5Y0i,,0,6,0,0,2017-09-07T16:20:45.000Z,0
60,#ThrowBackThursday #TBT to this amazing soldier concept art from Shadow Complex. https://t.co/Vld74t0ShX,,2,0,0,0,2017-08-24T20:18:21.000Z,0
61,Don't forget - Shadow Complex Remastered is still on sale in Latin America at the PS4 store! https://t.co/UkCaTuiO4g,,1,1,1,2,2017-08-14T16:24:19.000Z,0
62,Our intern Suzee is continuing her Shadow Complex journey live now. Tune in on Twitch: https://t.co/3R3cLuximX https://t.co/KX1t3C7ql9,,0,0,0,0,2017-08-09T20:55:29.000Z,0
63,Our August Shadow Complex Stream is TOMORROW! Tune in at 5pm EST for more noobery at https://t.co/3R3cLuximX or https://t.co/Vem3rQ9d5i https://t.co/xnF5WznDHN,,0,0,0,0,2017-08-08T23:30:14.000Z,0
64,Hey Latin America - don't miss your chance to grab Shadow Complex Remastered for PS4 at up to 60% off! https://t.co/ZZo7fCsGWQ,,0,1,0,0,2017-08-08T22:13:35.000Z,0
65,Come watch @CCNeverender take on Shadow Complex on Twitch: https://t.co/Sn5jyLfaad,,0,0,0,0,2017-08-04T00:38:48.000Z,0
66,RT @gameprobros: Who Put @starwars AT-AT's in @shadowcomplex? OH 'MERICA!  #CGN @NightRTs https://t.co/cS5LXy9D57 https://t.co/EYw8VlOxED,https://pbs.twimg.com/ext_tw_video_thumb/892132393582157824/pu/img/5bAm_lkJ0Dl0qCol.jpg,0,8,0,0,2017-08-02T13:00:39.000Z,0
67,A rare view of the Shadow Complex Spider Tank from above. #ConceptArt #ThrowBackThursday #TBT https://t.co/H6bnit6QZZ,,1,1,1,0,2017-07-13T23:07:05.000Z,0
68,Final Shadow Complex #SGDQ2017 speedrun time: 17:03 - great job @ajfirecracker! Keep supporting the GDQ cause here: https://t.co/RvsxFea4g3 https://t.co/SNlR1eI5gm,,1,1,0,0,2017-07-07T14:31:01.000Z,0
69,Time for the incentive run on the Shadow Complex #SGDC2017 stream. @ajfirecracker killed the first round in 17:03! https://t.co/Yrs2PFahed https://t.co/ODO4m1xoJN,,0,0,0,0,2017-07-07T14:16:12.000Z,0
70,The Shadow Complex #SGDQ2017 speedrun is in full swing! Watch @ajfirecracker smoke the big bosses here: https://t.co/RvsxFea4g3 https://t.co/p9PLjOAI91,,1,0,0,0,2017-07-07T14:06:49.000Z,0
71,We're off to the #SGDQ2017 races and @ajfirecracker is a gold mine of Shadow Complex Remastered tips! https://t.co/RvsxFea4g3,,0,0,0,0,2017-07-07T13:56:56.000Z,0
72,Tune in to Summer Games Done Quick for @ajfirecracker's Shadow Complex speedrun at 8 am MT! https://t.co/mdQm15w9WH #SGDQ2017 https://t.co/i6bOxDZq0a,,1,0,0,0,2017-07-07T13:46:53.000Z,0
73,#TBT to some Shadow Complex concept art - check out the gams on this mech! #ThrowbackThursday https://t.co/UDtzDpFIpu,,1,0,0,0,2017-07-06T19:17:53.000Z,0
74,Happy #4thofJuly! Be sure to pick up Shadow Complex Remastered for just $4.99 on Steam. Last day! https://t.co/oUafic42Bs https://t.co/ispJVZnY0N,,1,0,0,0,2017-07-04T21:00:19.000Z,0
75,Last chance! Don't miss your opportunity to pick up Shadow Complex Remastered for just $4.99 on Steam: https://t.co/oUafibMrJU https://t.co/mpJVeRDPkP,,1,2,0,1,2017-07-03T20:01:08.000Z,0
76,Shadow Complex Remastered is part of the Steam Summer Sale! Download the game today for just $4.99: https://t.co/oUafibMrJU https://t.co/8iZFCcifR7,,0,0,0,0,2017-07-02T20:55:04.000Z,0
77,This weekend only! Get Shadow Complex Remastered for just $4.99 on @steam_games. Download now: https://t.co/oUafibMrJU https://t.co/sdGa5GSSHH,,0,0,0,0,2017-07-01T20:45:05.000Z,0
78,Get tips on taking down the Worker from @TamLTigersClub and download Infinity Blade 3 for $0.99: https://t.co/meGb8Aq1bo https://t.co/YiW1YveOoo,,0,0,0,0,2017-07-01T15:35:07.000Z,0
79,Ready for the long weekend? Pick up Shadow Complex for just $4.99 on Steam for a limited time #SteamSummerSale https://t.co/Pf1X75pkV7 https://t.co/8xl7b3wA4I,,0,0,0,0,2017-06-30T16:54:01.000Z,0
80,Searching for your next game adventure? Shadow Complex Remastered is on sale for just $5 on Steam! https://t.co/oUafibMrJU https://t.co/6ZgrZZzayf,,1,1,0,0,2017-06-28T15:39:27.000Z,0
81,Jump into the complex and get Shadow Complex Remastered for only $4.99 on Steam! https://t.co/oUafibMrJU https://t.co/NobpCItGos,,0,0,0,0,2017-06-27T16:35:50.000Z,0
82,What's better than ice cream? Shadow Complex for $4.99 on the Steam Store! https://t.co/oUafibMrJU https://t.co/J7tkMv4Xd0,,1,1,0,0,2017-06-26T16:52:56.000Z,0
83,@cyberlink420 Please contact our CS team and they can take a closer look: https://t.co/2wDf7EGmMM,,0,0,0,1,2017-06-26T16:22:55.000Z,0
84,Help Jason take the complex by storm: Shadow Complex Remastered is less than $5 on Steam! https://t.co/oUafibMrJU https://t.co/ysy0mpVx1r,,2,0,0,0,2017-06-25T21:15:05.000Z,0
85,The Shadow Complex sale is still going strong! Dive into the complex for only $4.99 on the Steam Store. https://t.co/oUafibMrJU https://t.co/XyGvfN1QaH,,1,2,1,0,2017-06-25T15:30:20.000Z,0
86,Don't forget: you can snag Shadow Complex Remastered for $4.99 on Steam right now! https://t.co/oUafibMrJU https://t.co/rz8hgE4d1I,,3,2,0,1,2017-06-24T20:30:21.000Z,0
87,Treat yourself this summer! Explore the world of Shadow Complex for only $4.99 on Steam: https://t.co/oUafibMrJU https://t.co/3nB7PLZOHk,,1,0,1,0,2017-06-24T14:45:10.000Z,0
88,Jump back into the adventure - get Shadow Complex Remastered for less than $5 on Steam! https://t.co/GSCwzfee00,,1,0,0,0,2017-06-23T20:35:05.000Z,0
89,Grab Shadow Complex for a crisp $4.99! On sale now on Steam: https://t.co/oUafic42Bs https://t.co/9DcET9BdIF,,1,2,0,0,2017-06-23T15:35:22.000Z,0
90,SALE ALERT: Get Shadow Complex Remastered for only $4.99 on Steam! https://t.co/oUafic42Bs https://t.co/WHFwoJuDUA,,2,2,0,0,2017-06-22T22:30:20.000Z,0
91,It's a summertime treat! Shadow Complex Remastered is on sale for just $5 on Steam: https://t.co/oUafibMrJU https://t.co/gNQWehAcBo,,1,3,0,0,2017-06-22T18:40:08.000Z,0
92,Watch Giant Bomb's original Shadow Complex review then get started on your next playthrough! #ThrowbackThursday #TBT https://t.co/tlj9R2g5Hy https://t.co/rSPM4zY22J,,1,1,0,0,2017-06-15T17:28:42.000Z,0
93,Even Jason has time for a cake break. Happy National Strawberry Shortcake Day! https://t.co/J3jetbOsGQ,,4,0,0,0,2017-06-14T19:59:12.000Z,0
94,We made it to #E3! Let us know if youâ€™re here! What are you excited for? #e32017 #fortnite https://t.co/lyDPiFACXu,,2,0,0,0,2017-06-12T18:35:51.000Z,0
95,Come meet our intern Suzee on the Shadow Complex Stream! Come watch now: https://t.co/3R3cLuximX,,5,4,0,0,2017-06-08T21:45:11.000Z,0
96,This early Shadow Complex concept art is oozing with mood #throwbackthursday #TBT https://t.co/pk9pNb1sIA,,1,0,0,0,2017-06-08T16:47:17.000Z,0
97,It's Noob time again on our monthly Shadow Complex Live Stream! Catch it tomorrow at 5:30 EST: https://t.co/3R3cLuximX https://t.co/PGnKb4yLwj,,0,1,0,0,2017-06-07T16:22:24.000Z,0
98,Claire's ready to climb in this #ThrowBackThursday concept art! Anyone else heading for a summer hike? #TBT https://t.co/tA4UDNXvlg,,0,0,0,0,2017-06-01T17:13:32.000Z,0
99,"RT @ChAIRGAMES: A classic! @DonaldMustard's 2011 GDC talk, Designing Shadow Complex. @shadowcomplex Link: https://t.co/tDNj8VwePW",,0,1,0,0,2017-05-25T00:35:20.000Z,0
100,Want to dive deeper into the world of Shadow Complex? Pick up the Superfan DLC Pack on Steam today! https://t.co/2W7OZtO67m,,1,1,0,0,2017-05-24T16:04:39.000Z,0
101,#ThrowbackThursday to our first Shadow Complex live stream. How things have changed since then! https://t.co/m9leuDgv7D https://t.co/B6yf3gWPtO,,1,2,0,0,2017-05-18T16:38:28.000Z,0
102,LAST DAY! Don't miss this chance to get Shadow Complex Remastered for 60% off on PS4. #FlashSale #PS4FlashSale https://t.co/BSVZYu2bap https://t.co/3oDplbZrb4,,2,4,0,0,2017-05-14T17:35:06.000Z,0
103,This weekend only! Get Shadow Complex Remastered for just $5.99 on @PlayStation 4. Buy now: https://t.co/BSVZYu2bap https://t.co/9O2tV1QASQ,,1,1,0,0,2017-05-13T22:24:17.000Z,0
104,Shadow Complex Remastered is on sale now on @PlayStation. Get the game for 60% off for a limited time: https://t.co/4P6JD0u66k https://t.co/UQAis2hvvd,,20,8,0,0,2017-05-12T17:30:35.000Z,0
105,An amazing Shadow Complex inspired Viper from RyanLord on Deviant Art. #FanArtFriday #FanFriday https://t.co/5VbSBsx6LW,,1,0,0,0,2017-05-05T17:24:16.000Z,0
106,We are going live now with the Shadow Complex Live Stream. Let's hunt some helicopters! https://t.co/3R3cLuximX,,0,0,0,0,2017-05-03T21:01:05.000Z,0
107,"RT @HangryNrrd: alright playing some @shadowcomplex for now, also been doing @H1Z1KotK and some @PUBATTLEGROUNDS @Small_Streamers https://tâ€¦",,0,4,0,0,2017-05-03T16:15:09.000Z,0
108,Time for the monthly Shadow Complex Live Stream! Come watch tomorrow at 5pm EST: https://t.co/3R3cLuximX https://t.co/D2SmWwOvXp,,0,0,0,0,2017-05-02T20:16:14.000Z,0
109,Come watch @1invisibleB stream Shadow Complex on Twitch live now! https://t.co/TH0Q9B6yrA,,1,0,0,1,2017-04-28T15:06:04.000Z,0
110,#TBT #ThrowbackThursdsay Check out this classic review of the original Shadow Complex from @danielkayser: https://t.co/68zKIVkbdj,,2,1,1,0,2017-04-20T16:10:48.000Z,0
111,"RT @RezycK: Shadow Complex &amp; Alien Rage finished ðŸ˜ 
Nice games, lil bit different from what i usually play, but still had fun!
#SupportSmalâ€¦",,0,3,0,0,2017-04-18T15:49:23.000Z,0
112,Just a few hours left to pick up Shadow Complex Remastered for $5.99 on the @windowsstore. Don't miss this chance: https://t.co/EBwrHJvGkr https://t.co/Su6qnS4gwR,,0,0,0,0,2017-04-17T17:50:14.000Z,0
113,LAST CHANCE! Get Shadow Complex Remastered for $5.99 on @windowsstore. Just one day left: https://t.co/EBwrHJvGkr https://t.co/J05ErGO3a5,,1,1,0,0,2017-04-16T21:25:05.000Z,0
114,THIS WEEKEND ONLY! Don't miss this chance to pick up Shadow Complex Remastered for just $5.99 in the @windowsstore https://t.co/EBwrHJvGkr https://t.co/GR1OqkmJq6,,1,0,0,0,2017-04-15T20:50:09.000Z,0
115,Ready for the weekend? Pick up Shadow Complex Remastered for $5.99 on @windowsstore this weekend only: https://t.co/EBwrHJvGkr https://t.co/rDYFw6VHfi,,1,1,1,0,2017-04-14T20:31:23.000Z,0
116,We're live now on Twitch with @ajfirecracker showing off his upcoming @GamesDoneQuick Shadow Complex Remastered runs https://t.co/3R3cLuximX,,0,0,0,0,2017-04-12T21:59:12.000Z,0
117,Time to save the world! Pick up Shadow Complex Remastered for just $5.99 in the @windowsstore for a limited time: https://t.co/EBwrHJvGkr https://t.co/QifBVS5bZm,,3,1,0,0,2017-04-12T17:26:40.000Z,0
118,We're streaming tomorrow at 6pm EST with @ajfirecracker for real this time! Catch a peak of his @GamesDoneQuick runs https://t.co/3R3cLuximX https://t.co/nS4MHgcO9w,,3,1,0,1,2017-04-11T23:09:29.000Z,0
119,Shadow Complex Remastered is just $5.99 in the @windowsstore as part of the #SpringSale. Get it now: https://t.co/EBwrHJvGkr https://t.co/O9VqkV3c0W,,0,0,0,0,2017-04-11T17:11:43.000Z,0
120,We're experiencing technical difficulties and need to postpone the Shadow Complex stream to next week! Actual photo of Brad right now: https://t.co/Q54xL2mE5d,,1,0,0,1,2017-04-05T20:28:23.000Z,0
121,Catch our live stream tomorrow with @ajfirecracker at 4pm EDT. Showing off his submitted runs for @GamesDoneQuick: https://t.co/3R3cLuximX https://t.co/vWZWaWgF3m,,0,0,0,0,2017-04-04T18:11:16.000Z,0
122,#ThrowbackThursday The complex emerges from the beauty of the Washington wilderness in Shadow Complex #TBT https://t.co/B03pATpkGY,,1,0,0,0,2017-03-30T16:48:41.000Z,0
123,Last few days to submit your best time for the Monthly Run! How fast can you conquer all of the proving grounds? https://t.co/CVuZV3e4iz https://t.co/vtTgavMFnK,,1,0,0,0,2017-03-29T19:28:07.000Z,0
124,#ThrowBackThursday Putting things in perspective with this concept art. #TBT #ShadowComplex https://t.co/X7TrYWreNu,,1,0,0,0,2017-03-16T16:44:01.000Z,0
125,Tackle all the Proving Grounds in this month's Monthly Run! Come play Shadow Complex now: https://t.co/BrivWSbXc4 https://t.co/Z9ryhPnaqI,,0,0,0,0,2017-03-08T23:48:32.000Z,0
126,LIVE STREAM! We're seeing how fast we can beat all the Shadow Complex Proving Grounds - come watch: https://t.co/3R3cLuximX,,0,0,0,0,2017-03-08T20:51:34.000Z,0
127,We're showing off the latest Monthly Run on our live stream tomorrow! Come watch tomorrow at 4pm EST: https://t.co/3R3cLuximX https://t.co/WaV1KoQ8Rs,,0,0,0,0,2017-03-07T17:47:07.000Z,0
128,#ThrowBackThursday to Shadow Complex Remastered at GDC 2016! Have you escaped the complex yet? #tbt #gdc17 https://t.co/EITmsAn7Hi,,0,0,1,0,2017-03-02T16:33:20.000Z,0
129,Get Shadow Complex Remastered for up to 50% off on Xbox One for a limited time! Buy now: https://t.co/QAdV35aGAI https://t.co/OLVyj8Pm82,,0,0,0,0,2017-02-25T18:59:31.000Z,0
130,That feeling when you remember you can get Shadow Complex Remastered for 50% off on Xbox One this weekend: https://t.co/QAdV35aGAI https://t.co/5LPe6dtscT,https://pbs.twimg.com/tweet_video_thumb/C5dpV3JVAAAVJHB.jpg,0,0,1,0,2017-02-24T22:16:29.000Z,0
131,Get ready for the weekend by picking up Shadow Complex Remastered for up to 50% off on Xbox One! #Sale https://t.co/QAdV35aGAI https://t.co/sLKhQimuIS,,2,0,0,0,2017-02-23T18:47:15.000Z,0
132,Pick up Shadow Complex Remastered for up to 50% off on Xbox One for a limited time! Don't miss this chance: https://t.co/QAdV35aGAI https://t.co/SNXcxk4nsL,,2,3,0,0,2017-02-22T17:38:47.000Z,0
133,SALE! Pick up Shadow Complex Remastered for up to 50% off on Xbox One for a limited time! https://t.co/QAdV35aGAI https://t.co/kbmOhpGC1b,,1,1,0,0,2017-02-21T18:19:09.000Z,0
134,Things get a little explosive in this #ThrowBackThursday from Shadow Complex. Were you able to escape this trap? #TBT https://t.co/D3adZvXOsH,,2,0,0,0,2017-02-16T17:33:32.000Z,0
135,"RT @FunyunsAreTasty: Got WR in @shadowcomplex today (matched RTA, new IGT).
https://t.co/qtWzrz3sJ5 https://t.co/uQG67Ao0g9",,0,2,0,0,2017-02-16T16:40:07.000Z,0
136,Come join us on our Shadow Complex Remastered Live Stream! We're hunting trophies on PS4. Watch now: https://t.co/3R3cLuximX,,0,1,0,0,2017-02-15T21:00:03.000Z,0
137,Time for our Monthly Shadow Complex Remastered Dev Stream! Join us as we hunt trophies on PS4: https://t.co/3R3cLuximX https://t.co/HGiVEnpr5x,,0,1,0,0,2017-02-14T17:35:24.000Z,0
138,#ThrowBackThursday to Shadow Complex In Real Life from @DarkPixelTV. Have you seen this? https://t.co/5TtraReBGa #TBT https://t.co/ru35XwPIEI,,0,0,0,0,2017-02-09T17:54:08.000Z,0
139,FINAL DAY! Last chance to grab Shadow Complex Remastered for 50% off in the PS4 European Store. Get it now: https://t.co/oYn3Lkz69U https://t.co/kOIdiXMkGv,,0,0,0,0,2017-02-07T20:29:00.000Z,0
140,2 DAYS LEFT! Get 50% off on Shadow Complex Remastered for a limited time in the European Playstation Store: https://t.co/oYn3Lkz69U https://t.co/QTGDNHiNMW,,1,0,0,0,2017-02-06T17:53:00.000Z,0
141,Looking for something to play this weekend? Get Shadow Complex Remastered for 50% in the European PS4 store: https://t.co/oYn3Lkz69U https://t.co/yDleINxpcw,,0,1,0,0,2017-02-03T21:15:59.000Z,0
142,An excellent Shadow Complex Restoration Soldier from @pino44io on Deviant Art. #FanArtFriday #FanFriday https://t.co/B1A2CoSaqK,,1,1,0,0,2017-02-03T18:27:56.000Z,0
