author,date,comment
Andrea Maiellano,2021-08-10T00:00:00.000Z,"Eleven months after its official release, Hades finally arrives on the consoles of Microsoft and Sony confirming itself as a small masterpiece able to address a much wider audience than you might think considering the genre of belonging."
Andrew Thornton,2021-08-16T00:00:00.000Z,"Hades remains an absolute must-play modern masterpiece on the Xbox Series X. I’m thrilled to see new ports bring it to a new audience. With a wonderful story, memorable characters, some of the best voice acting around, a stunning soundtrack, variety that keeps things fresh even after dozens of runs, incredibly tight gameplay, and game design, which will allow even those who don’t usually care for roguelites to engage with it, this is a game that every player should try."
Arne Cito,2019-11-18T00:00:00.000Z,"Deep gameplay at an unseen fidelity and attention to detail cement Red Dead Redemption 2 as Rockstar's newest genre-defining adventure. In spite of technical issues at launch, the PC version reigns supreme as the decisive way to experience the Wild West epic at uncapped framerates, obscene resolutions and incredible visuals."
Bahram Bigharaz,2022-03-21T00:00:00.000Z,"Into its 3rd generation and GTA V is still printing money for Rockstar. The new generation version is not as jaw-dropping as it was almost a decade ago, but it is the best way to play it if you are one of the very few who hasn't already; And even if you did, the current discounted price might tempt you to give it another try anyway."
Basil Frank,2021-08-23T00:00:00.000Z,"The more I speak about this game, the more I just want to jump back in for another run. It's addictive, it's frustrating, it's fun and it's highly recommended."
Ben Dutka,2015-07-24T04:00:00.000Z,"Anyway, Journey on PlayStation 4 is undoubtedly the definitive edition of an instant classic. It's not drastically different and there really isn't any new content, but the upgrades included in this package are noticeable and appreciated, and vault the production into the stratosphere. We are moved and impacted; some even say they're forever changed after finishing."
Ben Skipper,2015-07-22T04:00:00.000Z,One of the greatest video games ever made. A masterpiece.
Ben Walker,2019-11-06T00:00:00.000Z,"In a world where developers who design experiences for console and try throw them on the PC, Rockstar Games beautifully takes its time in creating a port that both serves the artistic purposes of the original while allowing players to run free in their best open world to date. Just make sure your PC is up to standard."
Bogdan Robert,2022-02-24T00:00:00.000Z,"After more than 55 hours spent playing, I'm still awed by just how great God of War is. This is the result of a clear, determined vision, its separate elements harmonizing almost perfectly to deliver an experience that understands the series' blood-soaked origins but is also not afraid to push it into a more mature and nuanced direction."
Brandon Adams,2019-11-11T00:00:00.000Z,"When everything clicks, Red Dead Redemption 2 for PC is a solid port, just not a perfect one. Largely carried by the fantastic quality of the game itself, the port does at least provide prettier visuals, additional content, and a fantastic new Photo Mode."
Branislav Kohút,2019-11-12T00:00:00.000Z,"RDR 2 is a great game, it's actually two in one (you'll pay for it). In the package you will get a massive story and a separate online world full of possibilities. However, the PC version still has some technical problems after the first big patch."
Cade Onder,2022-03-19T00:00:00.000Z,"The Xbox Series X|S and PS5 versions of Grand Theft Auto V and GTA Online are good, this isn't a bad game, it's just not as impressive as one may hope. It has some flashy new graphical effects, a menu redesign, and the 60FPS mode is remarkable, but it's all marginal. For newcomers with little to no experience with the game, this is going to be an absolute treat. For veterans, this may ring a bit hollow. It's worth picking up if you want to keep up with GTA Online and have the best possible version, but otherwise, there are no enhancements that demand you replay the story once more."
Casey David Muir-Taylor,2021-08-11T00:00:00.000Z,"Hades on PS5 has been my favorite way to play, and I’m excited more people will be able to dive into Hell."
Casey Scheld,2019-06-09T04:00:00.000Z,"Journey's journey to the PC is a successful one, barring some minor technical issues. Between its incredible atmosphere and unique mechanics, this is one title worth exploring."
"Cassie Peterson,Ron Burke",2022-03-22T00:00:00.000Z,"It's somewhat unfair to compare the next-gen console versions to a PC as my video card costs more than both consoles combined. That said, what Rockstar has pulled off here is as close to a PC running at max settings, but with a slightly lower draw distance and less feature-rich anti-aliasing. On the other hand, if you are coming from the PlayStation 4 or the Xbox One, the difference is staggering. Most of the time a next-gen native version of a game is just a higher-resolution minimal-effort wallet hug, but here it's clear that the developers are looking to deliver the best version of their most successful game ever, ahead of finally getting another proper installment in the series."
Chandler Wood,2015-07-26T04:00:00.000Z,"Journey is minimalist to allow you to fill in those gaps with your own emotion and experience — to apply your personal situation and make the story your own. It's a simple beauty, but one that shines brightly and now has the opportunity to be played by millions more thanks to its stunning upgrade to PS4, with beautiful lighting and environments that impress. Whether you've played Journey before, or never had the opportunity, do yourself a favor and make your way to the top of the mountain on PS4. You may find more on the way to the peak than you expected at the outset."
Charles Hartford,2021-08-10T00:00:00.000Z,"So if you came into this wondering if the Hades port is worth a second look, I could not recommend it enough. The charm, character, and challenging gameplay that made it an instant hit last year gives it more than enough appeal to warrant a second go."
Chase Ferrin,2022-02-01T00:00:00.000Z,"God of War is not only a fun game itself, but runs flawlessly on PC and with some really nice visual and performance upgrades that make it now the definitive way to play."
Chris O'Connor,2019-11-19T00:00:00.000Z,"Be an outlaw or try and turn over a new leaf in the old west, yes please!"
Chris Shive,2022-03-21T00:00:00.000Z,Grand Theft Auto V is one the best games released in the last decade and holds up surprising well nine years later.
Chris White,2022-03-23T00:00:00.000Z,"GTA V on PS5 is the best version of the game. The 60fps make it feel smoother to play, with faster load times being a welcomed improvement."
Christopher Teuton,2019-11-07T00:00:00.000Z,Red Dead Redemption 2 on PC remains both a visual and storytelling masterpiece.
Cody Gravelle,2021-08-10T00:00:00.000Z,"Hades remains one of the best roguelikes in recent memory regardless of what machine is housing it. As always, the advice ultimately remains the same for those on the fence about the Supergiant Games spin on mythology: go play Hades. Now there's even more ways to do so."
Cody Medellin,2022-04-08T00:00:00.000Z,"If you've somehow held out on getting Grand Theft Auto V until now and don't play games on your PC, then the PS5 version is the one to get. The faster loading times and graphical bumps still make this a good-looking game, despite the age of the assets."
Cole Watson,2019-11-11T00:00:00.000Z,"The PC release of Red Dead Redemption 2 is without a doubt visually breathtaking to behold, but a wide range of issues at launch sour the experience of revisiting Rockstar's captivating Western."
Cosmin Vasile,2021-08-22T00:00:00.000Z,Review code provided by the publisher.
Dakoda Barker,2015-07-23T04:00:00.000Z,"A beautiful, emotional, minimalist journey full of wonder and heartbreak."
Dalton Cooper,2022-03-21T00:00:00.000Z,"The next-gen version of Grand Theft Auto 5 is a new way to play one of the best games ever made, but the upgrades may not be worth it for everyone."
Dan Hastings,2018-04-17T04:00:00.000Z,"A highly unusual and relaxing adventure that manages to tell the story of a journey without using a single word. The game is stunning and has a very unique visual style to it. The gameplay is simple, yet adequate for the style of game. It is a short experience that is unique and really stands out of other games in a similar genre. The lack of a narrative may turn some people off, but if you can deal with this, it is a game worth playing."
Dani Maddox,2022-01-12T00:00:00.000Z,"God of War is a lore heavy game with a seemingly endless supply of pickups, quests, and side dialogue centered around Norse mythology and the relationship between a father, Kratos, and his young son Atreus."
Daniel Hollis,2021-08-10T00:00:00.000Z,"As expected, Hades knocks it out of the park, offering a stellar experience to Xbox players for the first time. It's every bit as incredible as it was a year ago, with punchy combat, an addictive gameplay loop and a cast of characters that prove to be charming and terrifying in the same breath. It's a shame a few frame rate issues sour the experience occasionally, but make no mistake, Hades is absolutely worth your time whether you're a fan of the genre or not."
Daniel Villagrasa,2022-04-02T00:00:00.000Z,‎GTA V on Xbox Series X gives very little reason for Xbox One players to make the jump (pay-per-use). A version that could well have been free is left behind a payment barrier to justify technical improvements that they know little.‎
Daniele Di Egidio,2019-11-14T00:00:00.000Z,"Getting lost in a game has never been so easy, the universe of rdr2 is boundless and timeless. A joy for the eyes and the heart.
Every gamer in the world should play with it."
Daniele Dolce,2022-03-21T00:00:00.000Z,"After almost ten years, Grand Theft Auto V begins to show its age. It's a remarkable video game though, but three new visual modes can't hide the fact that some of its game systems are beginning to feel antiquated. Still, this next-gen version is obviously the best way to play GTA 5 and GTA Online."
David Carcasole,2022-01-19T00:00:00.000Z,"God Of War on PC is unsurprisingly the same amazing game it was on PS4 back in 2018, although its pain points are more blatant years later. The visuals, narrative and stunning experience however do not disappoint and remain as impactful as they've always been. It also helps that this is so far, Sony's best port to PC in terms of optimization. This is well worth picking up, whether or not it is your first time."
David Fialho,2019-10-21T00:00:00.000Z,"To everyones surprise, the Nintendo Switch can run The Witcher 3, with a great package full of content for those who seek the adventures of a witcher on-the-go."
Denny Connolly,2019-11-11T00:00:00.000Z,Red Dead Redemption 2 is back with a PC port that allows users to explore some new content and push their settings to the max.
Diego Perez,2022-01-12T00:00:00.000Z,"Whether you're revisiting the frozen Norse realm or diving into Kratos and Atreus' journey for the first time, there's never been a better way to experience this epic tale."
Diego Perez,2022-03-19T00:00:00.000Z,"Grand Theft Auto V was a landmark title when it was released, but its online counterpart has surpassed it in every way. This next-gen port is a great way to experience GTA Online, but the lack of single-player additions is disappointing."
Dominic Sheard,2015-05-04T04:00:00.000Z,"At the end of the day, this is still Grand Theft Auto V, an entry that I find is the best in the series, and a game that has been made that little bit better with the performance boost and graphical enhancements."
Dymox,2017-02-11T05:00:00.000Z,Grand Theft Auto V is a great game to anyone who enjoys a vast and expansive open world with lots of stuff do and having something for everyone.
Eden Penketh,2019-11-24T00:00:00.000Z,Red Dead Redemption 2 is a masterpiece. No other game has ever tried and succeeded to capture a sense of a time and place long gone while also blending social commentary so well. The addition of a multiplayer mode that's a real step up from Rockstar's last effort makes Red Dead Redemption 2 unmissable on PC.
Emin Çıtak,2015-07-27T00:00:00.000Z,"Is this just a game? I can feel this game, I can feel this journey in my heart. Great art design and an unforgettable experience."
Eren Eroğlu,2021-08-15T00:00:00.000Z,"Hades is one of the best rogue-like games ever; with great music, stylish art design and smooth gameplay."
Erica Mura,2022-01-12T00:00:00.000Z,"Whether you are a lover of the original series or new gods of war, it does not matter: give it a chance, you will hardly regret it."
Erik Kain,2015-07-25T04:00:00.000Z,"Firing up Journey on PS4 is a delight. It's so gorgeous and fluid in 1080p and 60 frames-per-second. Even though that's really the only thing different about it, it's a wonderful experience."
Eser Güven,2022-01-14T00:00:00.000Z,Sony nailed this PC port. God of War is climbing the Master Race mountains to bring the PC pantheon to its knees.
Ewan Paterson,2022-03-16T00:00:00.000Z,"It's still a great way to play Grand Theft Auto 5, but even with the visual improvements and new multiplayer content, it feels less like a necessary return, and more like an aimless jaunt."
Filipe Mesquita,2021-08-28T00:00:00.000Z,"Hades is a sublime experience and certainly deserving of all the praise it has received over the past year. 
With gameplay so juicy that we can only describe as addictive, with one of the most appealing visual and sonic aspects you can find, and with such a well-written narrative, we have no doubt that Hades is one of the best games currently available for PlayStation 5, and most likely the best roguelike produced to date."
Frank Reese,2020-11-23T00:00:00.000Z,"Red Dead Redemption 2 feels like Rockstar has turned a corner, but it might not be the corner fans were hoping they would turn."
Gabriel Fuentes,2022-03-22T00:00:00.000Z,"‎Grand Theft Auto V is a very curious case, a game that is still in the main rankings of the world as one of the best-selling titles despite having come out almost a decade ago (and having been given away by Epic), which leads to think that people have bought it on several different platforms and, in many cases, more than once. So, is it worth buying it again? I think that answer depends on each one, on their level of fanaticism for the game, on the economy of each one and on what they expect from production in this new generation.‎"
Gareth Chadwick,2022-03-17T00:00:00.000Z,"The core game’s design is showing its age at this point. Many missions are fun activities sandwiched between needlessly lengthy driving sessions. Seriously, the number of times if makes you drive between Sandy Shores and the main city of Los Santos is ridiculous, or having to follow a plane for a full ten minutes for no real reason before getting to board it. It would feel like padding if this wasn’t already a long game without them. In spite of this, the story and characters can carry you through the rougher parts so you can enjoy the heists and the witty arguments along the way."
Geoffrey Tim,2019-11-11T00:00:00.000Z,"There's not much in the way of new content, but Red Dead Redemption 2 is undoubtedly best played on PC. With scalable graphics options for future PC tech, improved input latency and an already burgeoning modding scene, Red Dead Redemption will continue to shine on the platform for years."
Giannis Archontidis,2022-04-08T00:00:00.000Z,Grand Theft Auto V Expanded & Enhanced Edition has plenty of visual additions to make players who have played it again have a much better experience.
Greg Wheeler,2022-01-17T00:00:00.000Z,"The fact that God of War still holds up after its release in 2018 speaks volumes about the great work Santa Monica Studio have done with this “not really a reboot but not really a sequel” game. When it dropped on Playstation as an exclusive, it rightly received critical and fan acclaim the world over. Fast forward to 2022 and that same experience is now available to PC users, in a port that’s just as good – if not better – than its Playstation counterpart."
Hannah Douglass,2015-07-27T04:00:00.000Z,"A tremendous title on PS3, Journey is even better on PS4 thanks to a better resolution, improved frame rate, and sharper textures."
Hubert Sosnowski,2022-04-01T00:00:00.000Z,"Do you know what I’m going to do after writing this review? Play Hades again - for fun. It’s just so damn good. Maybe I’ll be able to escape hell, maybe not, but I’ll be happy to try again."
Jack Yarwood,2015-08-03T04:00:00.000Z,The game is a spellbinding experience that really is a credit to its medium.
Jacob Hegarty,2022-01-26T00:00:00.000Z,"Overall, God of War on PC has improved over the PS4 release. With the added graphical fidelity and the addition of widescreen, ray tracing, and DLSS support, PC players now get to experience one of the best titles from the PS4 in even higher definition and better framerates"
Jake Arias,2021-08-19T00:00:00.000Z,"Hades is a hack-and-slash dungeon crawler roguelite with a simplistic gameplay loop, some complex perk combinations reminiscent of Transistor, and a reactive story that sees characters react to just about anything that you do. The problem is that all of the things that you can do are limited to picking perks and killing things in the same four floors of the same dungeon, and the story drags its heels in such an egregious way that you have to finish this same 20-40-minute dungeon something like 50 times to reach the actual ending."
Jakub Smolak,2022-02-01T00:00:00.000Z,"God of War is a tailor-made game, so that everyone likes it and that everyone can find a lot of fun in it."
James Bentley,2022-02-09T00:00:00.000Z,"God of War manages to solidify itself as a wonderful standalone game that rises to the challenge set by its previous games and moves it into a more grounded and, ultimately, fulfilling area. While some may miss the over-the-top action and more distanced camera angle, it makes up for it with one of the very best narrative experiences of the last decade."
James Davenport,2019-11-15T00:00:00.000Z,"Red Dead Redemption 2's stark, slow depiction of America's fading frontier is a monumental work straining against stubborn mission design and stability problems."
James Ide,2022-01-14T00:00:00.000Z,"While picking this up may not be worth it for those who own the PS5 version, for those who played it on PS4 the PC port is a visual feast, it offers significant improvements over this already legendry title and the definitive way to play God of War."
James Ide,2022-03-18T00:00:00.000Z,"Grand Theft Auto V for Xbox Series X and PS5 isn't so much expanded but it's certainly enhanced. The common criticism here is that it looks the same, and there’s a small nugget of truth to that, the updated visuals aren't mindblowing, but they do add up to make a difference. While those graphical changes aren’t as dramatic as the difference between GTA V and Red Dead Redemption 2, the drastically reduced loading times, higher framerates and improved audio on the current hardware does make the game much more enjoyable."
Jason Moth,2022-02-09T00:00:00.000Z,"The PC port of God of War takes an already amazing game and makes it look and play better than ever before. Provided you have a rig powerful enough to take advantage of all the new upgrades. But even without all the bells and whistles, God of War remains a modern masterpiece and you owe it to yourself to give it a shot."
Jason Torfin,2015-07-24T04:00:00.000Z,"A masterfully-crafted, scarf-swaddled allegory. Take the trip."
Javad Mohseni,2021-08-25T00:00:00.000Z,"Hades takes the usually not well recieved Roguelike genre to a whole another level by pushing the potentials of the genre out of the window, presenting a high tempo gameplay with well-balanced difficulty, eye catching visuals and solid voice acting."
Jed Pressgrove,2015-07-24T04:00:00.000Z,"Its anecdotes function as mawkish indicators of social status, as the Internet crowd often forgets that being online is a privilege for more than a few."
Jim Sterling,2015-07-21T04:00:00.000Z,This is interactive art. This is how it's done.
John Cantees,2022-01-13T00:00:00.000Z,"Despite some slight performance issues, God of War not only lands on PC well but also proves to be a much more natural fit for the platform than any other PS4 exclusive so far."
Jonathan Gordon,2015-09-24T04:00:00.000Z,"A prettier, smoother version of a classic"
Jordan Baranowski,2019-11-13T00:00:00.000Z,Red Dead Redemption 2 on PC is truly mesmerizing.  This is the definitive way to play Rockstar's Wild West epic.
Jordan Middler,2022-01-12T00:00:00.000Z,"Even if you’ve played God Of War on the PS4, it’s more than worth going back for another trip up the mountain."
Jorge Loureiro,2022-01-12T00:00:00.000Z,The PC version of God of War goes to show that it remains one of the best action and adventure games. There is no equal.
Joseph Siemsen,2019-12-02T00:00:00.000Z,"Red Dead Redemption 2 breaks the rules of the games I tend to enjoy. Lower on my preference list are both life simulators and open world, yet I found myself thoroughly engrossed in what was offered."
Joshua Wright,2015-05-11T00:00:00.000Z,"Ultimately you will get everything you expected from GTA 5 for PC; a tremendous game with many months of playability and the potential to only get better. If you own a kick-ass PC you should buy it. If not, take the $1500 you were going to spend on that poseur Mac, and buy yourself a kick-ass PC."
Juan García,2019-11-19T00:00:00.000Z,"‎Red Dead Redemption 2 will be the first game in the series available for PC. It includes several graphical and technical improvements to offer a more immersive experience, as well as new bounty hunter missions, assaults on lairs and weapons, among other things. Red Dead Redemption 2 for PC also allows free access to the multiplayer world of Red Dead Online, which includes all the improvements we have been implementing and the latest content updates. That way, you can enjoy the full online experience, including the trades of the West and the specialized roles of bounty hunter, dealer and collector, in which you can progress to exclusive rewards.‎"
Juan García,2015-07-27T00:00:00.000Z,"‎A beautiful journey, unparalleled in the history of the video game.‎"
Juraj Malíček,2015-10-07T00:00:00.000Z,"Journey is, it is the perfect game – of course, if we respect that is the definition that defines the game as a form of execution."
Keith Milburn,2015-08-03T04:00:00.000Z,"Journey's beauty isn't solely from its art or music, or the experiences crafted by its level designers and programmers. It's the way all of the elements speak to each other, and how it challenges classical game systems to further reinforce its metaphors. Journey was a masterclass in emotional design when it came out. This sharper, crisper version still carries that badge."
Kevin VanOrd,2015-07-22T04:00:00.000Z,"Journey has only improved with time, earning its status as one of the best games ever created."
Khari Taylor,2022-03-26T00:00:00.000Z,"With a plethora of visual enhancements and quality of life improvements for GTA V and GTA Online leading the charge (60fps performance, ray-traced shadows and significantly faster loading times chief among them), there’s never been a better, easier or more affordable time to visit San Andreas on current-gen consoles, whether it’s your first trip or if you’ve been away for years."
Krzysztof Mysiak,2022-01-12T00:00:00.000Z,"If you always wanted to play God of War, but never owned a PS, this is the perfect moment to try this legend on PC. The port is solid, and technical shortcomings aren't serious enough to prevent you from having fun with this phenomenal slasher. If you know GoW from PS4, you probably want to ignore this release – there's nothing new compared to the original."
Kyle Simcox,2021-08-11T00:00:00.000Z,"Hades is the best Rogue-like on the market. It's only downside is it's genre which will scare away the more casual gamer. Aside from that, everything about Hades is absolutely fantastic."
Lexuzze Tablante,2015-05-11T04:00:00.000Z,"Grand Theft Auto V showcases the masterpiece of an open world action adventure title that Watch_Dogs and other open world games have failed to deliver. The mind-blowing graphics, alluring gameplay experience, and the perfect online mode makes Grand Theft Auto V a deserving game to be awarded with Game of the Year title of 2015!"
Lillian King,2022-01-12T00:00:00.000Z,"If you don’t own any PlayStation consoles and this is your first chance to play God of War, then this is your call to action. It’s worth it: there’s a reason everyone was obsessed with this game. God of War lives up to the hype, and it hasn’t aged since its release. All the reasons God of War was so good the first time around haven’t gone anywhere."
Logan Moore,2022-01-12T00:00:00.000Z,"At the end of the day, God of War on PC is, well, God of War on PC. That might sound like a trite way to describe this port, but the fact that I found no major drawbacks or issues with this version of the game is basically all that you can hope for when publishers bring a console game to PC. The end product here shows that PlayStation is becoming much more experienced with this PC porting process, which isn't just a great thing for God of War, but it bodes well for the company's future plans in this space. If you somehow haven't played God of War already, now is the time to rectify that mistake and prepare for the arrival of Ragnarok later in 2022."
Lorenzo Quadrini,2022-01-12T00:00:00.000Z,"All in all, this PC version is a jewel within an even greater jewel which is God of War. The four years of waiting are therefore more than justified and, above all, do not weigh in the slightest on the game's performance. God of War has not aged, it has even improved and contributes to the already huge pool of games for PC users. Through a fine porting work, and thanks to the bases of excellence, we speak of a video game that should not be missing in the libraries of any fan."
Lou Sytsma,2019-11-16T00:00:00.000Z,"This is unquestionably a brilliant experience. Everything about this version is bigger and better than the console version providing you have the rig to run it on.

"
Luuc ten Velde,2022-01-12T00:00:00.000Z,"God of War is even better than it was in 2018 thanks to the power of the PC. With an uncapped framerate, native 4K and Ultra-Wide Screen support the game looks amazing and plays even better. If you're new to the series, this is the place to start."
Mahdi Maleki,2021-08-16T00:00:00.000Z,"Console version of Hades is just a masterpiece as well as PC version. Actually, i can say that Hades is the perfect meaning of a ""roguelike action dungeon crawler"". Don't miss this game at all."
Marc-Antoine Bergeron Cote,2022-01-19T00:00:00.000Z,"The PC version of God of War meets the main criteria for a successful port with compatibility with the latest technologies, the use of the peripheral of our choice or the possibility of increasing our immersion with ultra-wide screens in 21: 9. During my test, I did not have any particular technical problem or bug strictly speaking. If, according to the developers, this version of the game offers true 4K resolution, there are still textures that are a little blurrier than the others. Nothing too bad and it does not spoil the experience at all. The most positive point of the PC port of this adventure with Kratos is the fluidity that the latter possesses by allowing the user to completely unlock the frame rate."
Martin Černický,2019-12-05T00:00:00.000Z,"ed Dead Redemption 2 is a true colossus with an unbelievable attention to detail, who qualities shine through despite the technical shortcomings of the PC version. One of the most memorable titles of the last few years definitely deserves your attention, even if you'll find out it's not your kind of game in the end."
Martin Černický,2022-01-12T00:00:00.000Z,God of War is an excellent entry in the iconic series that is accessible even without playing the original games and still feels fresh four years after its initial release.
Marty Sliva,2015-07-23T04:00:00.000Z,"Three years later, Journey remains one of the most powerful games in recent memory."
Mateusz Gołąb,2015-08-02T00:00:00.000Z,"The most beautiful experience of the past generation, now also available to PS4 owners. If you haven't lived your Journey yet, make up for it. If you are already after, then it is worth refreshing. Just like the Little Prince."
Matt Lorrigan,2021-08-16T00:00:00.000Z,"Hades is an excellent action game that allows players to find progression even in death. Roguelikes are normally known for their high level of difficulty, but in Hades, the greatest challenge you’ll face is trying to put it down."
Matt Purslow,2020-05-14T00:00:00.000Z,"At campaign level you’ll be playing as three distinctly different characters in an astonishingly detailed and accurate recreation of Los Angeles, engaging in missions that tips hats to the best in crime cinema. A GTA world has never been as populated with things to do, be that hurling yourself out of helicopters whilst riding an ATV, or seeking out bounty hunt targets for big cash rewards. Los Santos is a world full of amusement and excitement, although these days Rockstar’s satire is starting to wear a little thin and the jokes don’t always hit the right mark. Online, it’s the same experience, but all the other gangsters are real people. And you can engage in a car chase with a rival player whilst Kenny Loggins’ Danger Zone plays on the radio. If that doesn’t convince you, I don’t know what will."
Matt Whittaker,2015-07-23T04:00:00.000Z,"With the addition of Journey, the PlayStation 4 library has gotten a heck of a lot more special. If October's Uncharted: The Nathan Drake Collection manages to avoid being a technical disaster, this will mean that Sony's latest console will have five of the most incredible PlayStation 3 titles available for purchase if you include both this and The Last of Us Remastered."
Maurice Pogue,2015-05-24T04:00:00.000Z,"GTAV is a masterpiece, successfully reproducing the awe that we felt when GTAIII first hit the streets while also surpassing GTA: San Andraes in both volume quality of content. Content concerns are without number, though gamers should expect nothing less from a franchise named after a felony."
Mohammad Talebian,2022-01-17T00:00:00.000Z,"What seemed impossible a few years back is now a reality and PC gamers can finally play one of the most important Sony exclusives of all time thanks to recent developments in video games industry; and even though it has been 4 years since the initial release of God of War on PS4, it's still one of the best action adventure games currently available."
Morgan Davies,2015-09-20T04:00:00.000Z,"One of the only complaints this game has experienced from countless players is its length. If you're familiar with the controls, you could easily complete the game in just over an hour"
Muhammad Ali Bari,2021-08-18T00:00:00.000Z,"Weak endgame aside, Hades is an innovative and refreshing take on the roguelike genre, coupled with fast, frenetic, and fun gameplay."
Myles Gann,2015-07-23T04:00:00.000Z,New Sony adopters can hail as an indie champion has come to PlayStation 4 while returning Nomads can appreciate the upgraded visual splendor.
Natalie Lindner,2022-01-12T00:00:00.000Z,"God of War’s PC port is a must-have for fans of games with seamless combat and gorgeous graphics. Kratos’ story and character development as a father and mourning husband presents players with a heartbreakingly beautiful tale accompanied by vivid depictions of Norse mythology. Its visuals create immersive arenas to battle the living and the undead in over 40 hours of story gameplay. Whether fans are experiencing God of War for the first time or are weathered veterans of the franchise, nearly everyone can enjoy God of War’s PC port."
Neil Bolt,2015-07-22T04:00:00.000Z,"Whether you played and enjoyed Journey before or are curious to see what the fuss is all about, the PS4 version provides a great excuse to experience one of PSN's greatest titles for a first or second time."
Olly Smith,2022-01-12T00:00:00.000Z,"God of War is a narrative gem. What it lacks in pacing and agency, it more than triumphs in writing, acting, and directing. What it results in is a deeply emotive story about a familial relationships and the ties that bind us. With a sequel just around the corner, now is the perfect time to get into this series. As part of Sony’s directive to bring more of its beloved franchises to PC, I’m glad it settled on one of the PS4’s most popular titles."
P-A Knutsson,2021-08-17T00:00:00.000Z,Intense and challenging battles are mixed with amazing characters that populate colorful and lovingly created environments. The tribute words hail and Hades is worth every single one – although we would have liked to have seen more improvements and news alongside the one-year-old Switch version.
Paolo Besser,2019-11-08T00:00:00.000Z," Red Dead Redemption 2 was fantastic on PlayStation 4, and it remains fantastic even on PC, with the addition of some aspects that were missing in the original edition."
Paulo Roberto Montanaro,2022-04-02T00:00:00.000Z,"Without any content additions for those who have already explored every alley in Los Santos, this version of GTA V may not be enough for veterans, but it remains a true masterpiece in the new generation. It also supports 60 fps or the ultra-high definition in 4k, making it the best possible way to enjoy this great criminal journey."
Paweł Musiolik,2015-07-24T00:00:00.000Z,"Still a great production. Not everyone will like it, but that does not mean that it is not worth the attention. An additional plus for the fact that having a PS3 version, we get a release on PS4 for free."
Peter Dragula,2022-04-06T00:00:00.000Z,Rockstar releases GTA V for another generation of consoles. Now with small graphic upgrades and with 60 fps mode. But it's not enough for paying upgrade.
